  0.131896E-01  0.141583E+08  0.141405E+08 -0.103018E+04  0.000000E+00  0.822225E+07  0.141289E+08
  0.145639E-01  0.136093E+08  0.135889E+08 -0.100117E+04  0.000000E+00  0.749728E+07  0.135787E+08
  0.160814E-01  0.130244E+08  0.130011E+08 -0.828962E+03  0.000000E+00  0.677811E+07  0.129928E+08
  0.177571E-01  0.124039E+08  0.123772E+08 -0.592014E+03  0.000000E+00  0.607428E+07  0.123713E+08
  0.196074E-01  0.117486E+08  0.117185E+08 -0.543865E+03  0.000000E+00  0.539118E+07  0.117154E+08
  0.216504E-01  0.110613E+08  0.110274E+08 -0.304319E+03  0.000000E+00  0.473603E+07  0.110276E+08
  0.239064E-01  0.103464E+08  0.103088E+08 -0.314207E+03  0.000000E+00  0.411547E+07  0.103126E+08
  0.263974E-01  0.961109E+07  0.957000E+07 -0.234633E+03  0.000000E+00  0.353640E+07  0.957743E+07
  0.291480E-01  0.886599E+07  0.882197E+07 -0.163298E+03  0.000000E+00  0.300440E+07  0.883283E+07
  0.321852E-01  0.812523E+07  0.807923E+07 -0.145623E+03  0.000000E+00  0.252461E+07  0.809293E+07
  0.355388E-01  0.740632E+07  0.735972E+07 -0.929743E+02  0.000000E+00  0.210079E+07  0.737525E+07
  0.392419E-01  0.672881E+07  0.668342E+07 -0.757699E+02  0.000000E+00  0.173477E+07  0.669933E+07
  0.433309E-01  0.611149E+07  0.606937E+07 -0.765986E+02  0.000000E+00  0.142591E+07  0.608391E+07
  0.476640E-01  0.558569E+07  0.554859E+07  0.000000E+00  0.000000E+00  0.117920E+07  0.556014E+07
  0.519971E-01  0.517157E+07  0.514031E+07  0.000000E+00  0.000000E+00  0.993137E+06  0.514795E+07
  0.563302E-01  0.483476E+07  0.480931E+07  0.000000E+00  0.000000E+00  0.848608E+06  0.481291E+07
  0.606632E-01  0.454899E+07  0.452861E+07  0.000000E+00  0.000000E+00  0.732916E+06  0.452869E+07
  0.649963E-01  0.429472E+07  0.427820E+07  0.000000E+00  0.000000E+00  0.637614E+06  0.427574E+07
  0.693294E-01  0.405577E+07  0.404168E+07  0.000000E+00  0.000000E+00  0.556804E+06  0.403788E+07
  0.736625E-01  0.382027E+07  0.380721E+07  0.000000E+00  0.000000E+00  0.486537E+06  0.380328E+07
  0.779956E-01  0.358455E+07  0.357139E+07  0.000000E+00  0.000000E+00  0.424744E+06  0.356832E+07
  0.823287E-01  0.335169E+07  0.333768E+07  0.000000E+00  0.000000E+00  0.370513E+06  0.333613E+07
  0.866618E-01  0.312813E+07  0.311297E+07  0.000000E+00  0.000000E+00  0.323419E+06  0.311318E+07
  0.909949E-01  0.292012E+07  0.290394E+07  0.000000E+00  0.000000E+00  0.283040E+06  0.290577E+07
  0.963951E-01  0.268986E+07  0.267302E+07  0.000000E+00  0.000000E+00  0.241307E+06  0.267625E+07
  0.101795E+00  0.249740E+07  0.248088E+07  0.000000E+00  0.000000E+00  0.208020E+06  0.248455E+07
  0.107196E+00  0.234411E+07  0.232888E+07  0.000000E+00  0.000000E+00  0.181824E+06  0.233204E+07
  0.112596E+00  0.222454E+07  0.221125E+07  0.000000E+00  0.000000E+00  0.161120E+06  0.221321E+07
  0.117996E+00  0.212779E+07  0.211667E+07  0.000000E+00  0.000000E+00  0.144263E+06  0.211716E+07
