    59    0.16144E+04   -0.15921E+01    0.11726E-04   -0.15921E+01    0.19901E+00   -0.46568E-08    0.11726E-04   -0.46568E-08    0.38165E-10
    60    0.16363E+04   -0.18999E+01    0.11328E-04   -0.18999E+01    0.20922E+00   -0.34316E-08    0.11328E-04   -0.34316E-08    0.36734E-10
    61    0.16587E+04   -0.22201E+01    0.10946E-04   -0.22201E+01    0.21978E+00   -0.25686E-08    0.10946E-04   -0.25686E-08    0.35372E-10
    62    0.16810E+04   -0.25535E+01    0.10580E-04   -0.25535E+01    0.23068E+00   -0.20347E-08    0.10580E-04   -0.20347E-08    0.34075E-10
    63    0.17034E+04   -0.29011E+01    0.10226E-04   -0.29011E+01    0.24188E+00   -0.17478E-08    0.10226E-04   -0.17478E-08    0.32840E-10
    64    0.17262E+04   -0.32642E+01    0.98854E-05   -0.32642E+01    0.25340E+00   -0.16254E-08    0.98854E-05   -0.16254E-08    0.31664E-10
    65    0.17490E+04   -0.36434E+01    0.95560E-05   -0.36434E+01    0.26520E+00   -0.15855E-08    0.95560E-05   -0.15855E-08    0.30543E-10
    66    0.17722E+04   -0.40367E+01    0.92371E-05   -0.40367E+01    0.27722E+00   -0.15638E-08    0.92371E-05   -0.15638E-08    0.29473E-10
    67    0.17955E+04   -0.44415E+01    0.89294E-05   -0.44415E+01    0.28946E+00   -0.15695E-08    0.89294E-05   -0.15695E-08    0.28452E-10
    68    0.18193E+04   -0.48561E+01    0.86338E-05   -0.48561E+01    0.30195E+00   -0.16299E-08    0.86338E-05   -0.16299E-08    0.27477E-10
    69    0.18432E+04   -0.52788E+01    0.83514E-05   -0.52788E+01    0.31466E+00   -0.17720E-08    0.83514E-05   -0.17720E-08    0.26546E-10
    70    0.18674E+04   -0.57112E+01    0.80831E-05   -0.57112E+01    0.32763E+00   -0.20233E-08    0.80831E-05   -0.20233E-08    0.25656E-10
    71    0.18918E+04   -0.61559E+01    0.78295E-05   -0.61559E+01    0.34085E+00   -0.23910E-08    0.78295E-05   -0.23910E-08    0.24804E-10
    72    0.19163E+04   -0.66141E+01    0.75895E-05   -0.66141E+01    0.35428E+00   -0.28030E-08    0.75895E-05   -0.28030E-08    0.23989E-10
    73    0.19410E+04   -0.70864E+01    0.73617E-05   -0.70864E+01    0.36790E+00   -0.31672E-08    0.73617E-05   -0.31672E-08    0.23209E-10
    74    0.19659E+04   -0.75721E+01    0.71447E-05   -0.75721E+01    0.38169E+00   -0.33916E-08    0.71447E-05   -0.33916E-08    0.22462E-10
    75    0.19912E+04   -0.80695E+01    0.69370E-05   -0.80695E+01    0.39567E+00   -0.33840E-08    0.69370E-05   -0.33840E-08    0.21746E-10
    76    0.20167E+04   -0.85780E+01    0.67373E-05   -0.85780E+01    0.40983E+00   -0.30863E-08    0.67373E-05   -0.30863E-08    0.21058E-10
    77    0.20425E+04   -0.90975E+01    0.65447E-05   -0.90975E+01    0.42416E+00   -0.25762E-08    0.65447E-05   -0.25762E-08    0.20399E-10
    78    0.20687E+04   -0.96293E+01    0.63586E-05   -0.96293E+01    0.43870E+00   -0.19650E-08    0.63586E-05   -0.19650E-08    0.19766E-10
    79    0.20951E+04   -0.10170E+02    0.61783E-05   -0.10170E+02    0.45338E+00   -0.13644E-08    0.61783E-05   -0.13644E-08    0.19159E-10
    80    0.21218E+04   -0.10720E+02    0.60030E-05   -0.10720E+02    0.46821E+00   -0.88590E-09    0.60030E-05   -0.88590E-09    0.18575E-10
    81    0.21486E+04   -0.11280E+02    0.58322E-05   -0.11280E+02    0.48315E+00   -0.61661E-09    0.58322E-05   -0.61661E-09    0.18015E-10
    82    0.21758E+04   -0.11850E+02    0.56660E-05   -0.11850E+02    0.49820E+00   -0.54633E-09    0.56660E-05   -0.54633E-09    0.17475E-10
    83    0.22031E+04   -0.12428E+02    0.55048E-05   -0.12428E+02    0.51334E+00   -0.64048E-09    0.55048E-05   -0.64048E-09    0.16957E-10
    84    0.22306E+04   -0.13014E+02    0.53489E-05   -0.13014E+02    0.52858E+00   -0.86452E-09    0.53489E-05   -0.86452E-09    0.16459E-10
    85    0.22584E+04   -0.13608E+02    0.51985E-05   -0.13608E+02    0.54388E+00   -0.11839E-08    0.51985E-05   -0.11839E-08    0.15979E-10
    86    0.22863E+04   -0.14209E+02    0.50539E-05   -0.14209E+02    0.55925E+00   -0.15643E-08    0.50539E-05   -0.15643E-08    0.15518E-10
    87    0.23146E+04   -0.14816E+02    0.49149E-05   -0.14816E+02    0.57467E+00   -0.19735E-08    0.49149E-05   -0.19735E-08    0.15074E-10
    88    0.23429E+04   -0.15430E+02    0.47811E-05   -0.15430E+02    0.59016E+00   -0.23793E-08    0.47811E-05   -0.23793E-08    0.14646E-10
    89    0.23716E+04   -0.16052E+02    0.46522E-05   -0.16052E+02    0.60568E+00   -0.27497E-08    0.46522E-05   -0.27497E-08    0.14233E-10
    90    0.24005E+04   -0.16678E+02    0.45279E-05   -0.16678E+02    0.62121E+00   -0.30527E-08    0.45279E-05   -0.30527E-08    0.13835E-10
    91    0.24296E+04   -0.17310E+02    0.44078E-05   -0.17310E+02    0.63675E+00   -0.32628E-08    0.44078E-05   -0.32628E-08    0.13450E-10
    92    0.24589E+04   -0.17948E+02    0.42918E-05   -0.17948E+02    0.65226E+00   -0.33810E-08    0.42918E-05   -0.33810E-08    0.13079E-10
    93    0.24886E+04   -0.18590E+02    0.41798E-05   -0.18590E+02    0.66775E+00   -0.34149E-08    0.41798E-05   -0.34149E-08    0.12720E-10
    94    0.25183E+04   -0.19236E+02    0.40717E-05   -0.19236E+02    0.68318E+00   -0.33722E-08    0.40717E-05   -0.33722E-08    0.12374E-10
    95    0.25483E+04   -0.19886E+02    0.39672E-05   -0.19886E+02    0.69855E+00   -0.32604E-08    0.39672E-05   -0.32604E-08    0.12040E-10
    96    0.25783E+04   -0.20540E+02    0.38663E-05   -0.20540E+02    0.71385E+00   -0.30871E-08    0.38663E-05   -0.30871E-08    0.11717E-10
    97    0.26087E+04   -0.21197E+02    0.37689E-05   -0.21197E+02    0.72905E+00   -0.28600E-08    0.37689E-05   -0.28600E-08    0.11406E-10
    98    0.26394E+04   -0.21855E+02    0.36747E-05   -0.21855E+02    0.74416E+00   -0.25867E-08    0.36747E-05   -0.25867E-08    0.11105E-10
